Время;ISIN;Эмитент;Тип ценной бумаги;Рынок;Площадка;Торговая цена;Кол-во ЦБ;сумма
16/01/24 16:16;UZ7056921008 UZINP;<O'zbekinvest>EISKAJ;Прив.акции;STK;G1;1450;100; 145 000,00 
16/01/24 16:16;UZ7056921008 UZINP;<O'zbekinvest>EISKAJ;Прив.акции;STK;G1;1450;100; 145 000,00 
16/01/24 16:16;UZ7056921008 UZINP;<O'zbekinvest>EISKAJ;Прив.акции;STK;G1;1450;100; 145 000,00 
16/01/24 16:16;UZ7056921008 UZINP;<O'zbekinvest>EISKAJ;Прив.акции;STK;G1;1450;10; 14 500,00 
16/01/24 16:16;UZ7056921008 UZINP;<O'zbekinvest>EISKAJ;Прив.акции;STK;G1;1450;10; 14 500,00 
16/01/24 16:16;UZ7056921008 UZINP;<O'zbekinvest>EISKAJ;Прив.акции;STK;G1;1450;10; 14 500,00 
16/01/24 16:15;UZ6057687AB2 BFMT3V2;<BIZNESFINANSMIKROMOLIYATASHKILOTI>MChJ;Облигации;BND;G1;101405,48;120; 12 168 657,60 
16/01/24 16:15;UZ7054590003 DORI;<DORI-DARMON>AK;Простыеакции;STK;G1;9000;1; 9 000,00 
16/01/24 16:15;UZ7047110000 UZTL;<O'zbektelekom>AK;Простыеакции;STK;G1;5674;10; 56 740,00 
16/01/24 16:15;UZ7039920002 IPKY;AITB<IpakYo'li>;Простыеакции;STK;G1;78;100; 7 800,00 
16/01/24 16:15;UZ704476K019 ALKBP;AT<Aloqabank>;Прив.акции;STK;G1;890;100; 89 000,00 
16/01/24 16:15;UZ7047110000 UZTL;<O'zbektelekom>AK;Простыеакции;STK;G1;5491;121; 664 411,00 
16/01/24 16:15;UZ7047110000 UZTL;<O'zbektelekom>AK;Простыеакции;STK;G1;5491,99;5; 27 459,95 
16/01/24 16:15;UZ7047110000 UZTL;<O'zbektelekom>AK;Простыеакции;STK;G1;5492,99;673; 3 696 782,27 
16/01/24 16:15;UZ7047110000 UZTL;<O'zbektelekom>AK;Простыеакции;STK;G1;5498;1000; 5 498 000,00 
16/01/24 16:15;UZ7047110000 UZTL;<O'zbektelekom>AK;Простыеакции;STK;G1;5500;96; 528 000,00 
16/01/24 16:15;UZ7047110000 UZTL;<O'zbektelekom>AK;Простыеакции;STK;G1;5500;200; 1 100 000,00 
16/01/24 16:15;UZ7047110000 UZTL;<O'zbektelekom>AK;Простыеакции;STK;G1;5500;250; 1 375 000,00 
16/01/24 16:15;UZ7047110000 UZTL;<O'zbektelekom>AK;Простыеакции;STK;G1;5500;14; 77 000,00 
16/01/24 16:15;UZ7047110000 UZTL;<O'zbektelekom>AK;Простыеакции;STK;G1;5500;30; 165 000,00 
16/01/24 16:15;UZ7047110000 UZTL;<O'zbektelekom>AK;Простыеакции;STK;G1;5500;180; 990 000,00 
16/01/24 16:15;UZ7047110000 UZTL;<O'zbektelekom>AK;Простыеакции;STK;G1;5500;135; 742 500,00 
16/01/24 16:15;UZ7047110000 UZTL;<O'zbektelekom>AK;Простыеакции;STK;G1;5500;6; 33 000,00 
16/01/24 16:15;UZ7047110000 UZTL;<O'zbektelekom>AK;Простыеакции;STK;G1;5500;200; 1 100 000,00 
16/01/24 16:15;UZ7047110000 UZTL;<O'zbektelekom>AK;Простыеакции;STK;G1;5560;100; 556 000,00 
16/01/24 16:15;UZ7047110000 UZTL;<O'zbektelekom>AK;Простыеакции;STK;G1;5600;53; 296 800,00 
16/01/24 16:15;UZ7047110000 UZTL;<O'zbektelekom>AK;Простыеакции;STK;G1;5600;40; 224 000,00 
