id,title,link,views,read_time,author_name,create_date,author_link
730238,"Простая очередь задач в Django, подключение Kandinsky 2.1",https://habr.com/ru/articles/730238/,3.5K,8 мин,evilsadko,"2023-04-20, 06:06",https://habr.com/ru/users/evilsadko/
538320,Разрабатываем и развёртываем собственную платформу ИИ с Python и Django,https://habr.com/ru/companies/skillfactory/articles/538320/,23K,11 мин,Picard,"2021-01-22, 13:13",https://habr.com/ru/users/Picard/
74856,Перевод Django Documentation: Models. Part 1,https://habr.com/ru/articles/74856/,19K,8 мин,fata1ex,"2009-11-10, 23:39",https://habr.com/ru/users/fata1ex/
651465,Как мы собрали проект на Django и React и уважили загрузчик Webpack,https://habr.com/ru/companies/piter/articles/651465/,9.3K,10 мин,ph_piter,"2022-02-14, 16:38",https://habr.com/ru/users/ph_piter/
680572,Как стажёр оптимизировал запросы и нашел баг в Django,https://habr.com/ru/companies/kts/articles/680572/,19K,10 мин,ipakeev,"2022-08-03, 15:41",https://habr.com/ru/users/ipakeev/
684958,Аутентификация в Django при помощи Metamask,https://habr.com/ru/articles/684958/,4.5K,4 мин,Sobolev5,"2022-08-27, 15:35",https://habr.com/ru/users/Sobolev5/
418445,Django Channels – ответ современному вебу,https://habr.com/ru/companies/oleg-bunin/articles/418445/,45K,13 мин,grigoryvp,"2018-07-31, 14:12",https://habr.com/ru/users/grigoryvp/
id,title,link,views,read_time,author_name,create_date,author_link
328352,"10 основных ошибок, совершаемых Django-разработчиками",https://habr.com/ru/companies/vk/articles/328352/,100K,12 мин,AloneCoder,"2017-05-12, 14:23",https://habr.com/ru/users/AloneCoder/
498452,Django: краткое руководство по интернационализации,https://habr.com/ru/companies/ruvds/articles/498452/,24K,5 мин,ru_vds,"2020-04-22, 12:30",https://habr.com/ru/users/ru_vds/
512746,"Как серверу на Django знать своих клиентов на React в лицо, практическое руководство",https://habr.com/ru/articles/512746/,19K,23 мин,mrevgenx,"2021-09-11, 22:09",https://habr.com/ru/users/mrevgenx/
81050,DTemplate — шаблон django проекта для ускорения разработки,https://habr.com/ru/articles/81050/,5.1K,3 мин,kaoz,"2010-01-17, 23:41",https://habr.com/ru/users/kaoz/
75272,Перевод Django Documentation: Models. Part 3,https://habr.com/ru/articles/75272/,12K,9 мин,fata1ex,"2009-11-27, 23:17",https://habr.com/ru/users/fata1ex/
544856,Архитектура в Django проектах — как выжить,https://habr.com/ru/companies/vivid_money/articles/544856/,44K,13 мин,tripcher,"2021-03-01, 17:43",https://habr.com/ru/users/tripcher/
92273,Автоустановка Django,https://habr.com/ru/companies/komtet/articles/92273/,5.6K,3 мин,komtet,"2010-04-28, 15:32",https://habr.com/ru/users/komtet/
530766,Зачем вам может понадобиться SITE_ID в настройках Django,https://habr.com/ru/articles/530766/,6.7K,5 мин,danilovmy,"2021-02-09, 19:51",https://habr.com/ru/users/danilovmy/
